X,Y,Z
-1,-0,1.32679e-006
-0.999848,-0,0.0174537
-0.999391,-0,0.0349008
-0.998629,-0,0.0523372
-0.997564,-0,0.0697577
-0.996195,-0,0.087157
-0.994522,-0,0.10453
-0.992546,-0,0.121871
-0.990268,-0,0.139174
-0.987688,-0,0.156436
-0.984808,-0,0.173649
-0.981627,-0,0.19081
-0.978147,-0,0.207913
-0.97437,-0,0.224952
-0.970295,-0,0.241923
-0.965926,-0,0.25882
-0.961261,-0,0.275638
-0.956304,-0,0.292373
-0.951056,-0,0.309018
-0.945518,-0,0.325569
-0.939692,-0,0.342021
-0.93358,-0,0.358369
-0.927183,-0,0.374608
-0.920504,-0,0.390732
-0.913545,-0,0.406738
-0.906307,-0,0.422619
-0.898794,-0,0.438372
-0.891006,-0,0.453991
-0.882947,-0,0.469472
-0.874619,-0,0.48481
-0.866025,-0,0.500001
-0.857167,-0,0.515039
-0.848048,-0,0.52992
-0.83867,-0,0.54464
-0.829037,-0,0.559194
-0.819152,-0,0.573577
-0.809017,-0,0.587786
-0.798635,-0,0.601816
-0.78801,-0,0.615662
-0.777145,-0,0.629321
-0.766044,-0,0.642788
-0.754709,-0,0.65606
-0.743144,-0,0.669131
-0.731353,-0,0.681999
-0.719339,-0,0.694659
-0.707106,-0,0.707107
-0.694658,-0,0.71934
-0.681998,-0,0.731354
-0.66913,-0,0.743145
-0.656059,-0,0.75471
-0.642787,-0,0.766045
-0.62932,-0,0.777146
-0.615661,-0,0.788011
-0.601815,-0,0.798636
-0.587785,-0,0.809017
-0.573576,-0,0.819152
-0.559192,-0,0.829038
-0.544639,-0,0.838671
-0.529919,-0,0.848048
-0.515038,-0,0.857168
-0.5,-0,0.866026
-0.484809,-0,0.87462
-0.469471,-0,0.882948
-0.45399,-0,0.891007
-0.438371,-0,0.898794
-0.422618,-0,0.906308
-0.406736,-0,0.913546
-0.390731,-0,0.920505
-0.374606,-0,0.927184
-0.358368,-0,0.933581
-0.34202,-0,0.939693
-0.325568,-0,0.945519
-0.309017,-0,0.951057
-0.292371,-0,0.956305
-0.275637,-0,0.961262
-0.258819,-0,0.965926
-0.241922,-0,0.970296
-0.224951,-0,0.97437
-0.207912,-0,0.978148
-0.190809,-0,0.981627
-0.173648,-0,0.984808
-0.156434,-0,0.987688
-0.139173,-0,0.990268
-0.121869,-0,0.992546
-0.104528,-0,0.994522
-0.0871557,-0,0.996195
-0.0697564,-0,0.997564
-0.0523359,-0,0.99863
-0.0348995,-0,0.999391
-0.0174524,-0,0.999848
3.27516e-015,0,1
0.0174524,0,0.999848
0.0348995,0,0.999391
0.0523359,0,0.99863
0.0697564,0,0.997564
0.0871557,0,0.996195
0.104528,0,0.994522
0.121869,0,0.992546
0.139173,0,0.990268
0.156434,0,0.987688
0.173648,0,0.984808
0.190809,0,0.981627
0.207912,0,0.978148
0.224951,0,0.97437
0.241922,0,0.970296
0.258819,0,0.965926
0.275637,0,0.961262
0.292371,0,0.956305
0.309017,0,0.951057
0.325568,0,0.945519
0.34202,0,0.939693
0.358368,0,0.933581
0.374606,0,0.927184
0.390731,0,0.920505
0.406736,0,0.913546
0.422618,0,0.906308
0.438371,0,0.898794
0.45399,0,0.891007
0.469471,0,0.882948
0.484809,0,0.87462
0.5,0,0.866026
0.515038,0,0.857168
0.529919,0,0.848048
0.544639,0,0.838671
0.559192,0,0.829038
0.573576,0,0.819152
0.587785,0,0.809017
0.601815,0,0.798636
0.615661,0,0.788011
0.62932,0,0.777146
0.642787,0,0.766045
0.656059,0,0.75471
0.66913,0,0.743145
0.681998,0,0.731354
0.694658,0,0.71934
0.707106,0,0.707107
0.719339,0,0.694659
0.731353,0,0.681999
0.743144,0,0.669131
0.754709,0,0.65606
0.766044,0,0.642788
0.777145,0,0.629321
0.78801,0,0.615662
0.798635,0,0.601816
0.809017,0,0.587786
0.819152,0,0.573577
0.829037,0,0.559194
0.83867,0,0.54464
0.848048,0,0.52992
0.857167,0,0.515039
0.866025,0,0.500001
0.874619,0,0.48481
0.882947,0,0.469472
0.891006,0,0.453991
0.898794,0,0.438372
0.906307,0,0.422619
0.913545,0,0.406738
0.920504,0,0.390732
0.927183,0,0.374608
0.93358,0,0.358369
0.939692,0,0.342021
0.945518,0,0.325569
0.951056,0,0.309018
0.956304,0,0.292373
0.961261,0,0.275638
0.965926,0,0.25882
0.970295,0,0.241923
0.97437,0,0.224952
0.978147,0,0.207913
0.981627,0,0.19081
0.984808,0,0.173649
0.987688,0,0.156436
0.990268,0,0.139174
0.992546,0,0.121871
0.994522,0,0.10453
0.996195,0,0.087157
0.997564,0,0.0697577
0.998629,0,0.0523372
0.999391,0,0.0349008
0.999848,0,0.0174537
1,0,1.32679e-006
-0.999848,-0.0174524,1.32679e-006
-0.999695,-0.0174497,0.0174537
-0.999239,-0.0174418,0.0349008
-0.998477,-0.0174285,0.0523372
-0.997412,-0.0174099,0.0697577
-0.996043,-0.017386,0.087157
-0.99437,-0.0173568,0.10453
-0.992395,-0.0173223,0.121871
-0.990117,-0.0172825,0.139174
-0.987538,-0.0172375,0.156436
-0.984658,-0.0171872,0.173649
-0.981477,-0.0171317,0.19081
-0.977998,-0.017071,0.207913
-0.974221,-0.0170051,0.224952
-0.970148,-0.016934,0.241923
-0.965778,-0.0168577,0.25882
-0.961115,-0.0167763,0.275638
-0.956159,-0.0166898,0.292373
-0.950911,-0.0165982,0.309018
-0.945374,-0.0165016,0.325569
-0.939549,-0.0163999,0.342021
-0.933438,-0.0162932,0.358369
-0.927042,-0.0161816,0.374608
-0.920364,-0.016065,0.390732
-0.913406,-0.0159435,0.406738
-0.906169,-0.0158172,0.422619
-0.898657,-0.0156861,0.438372
-0.89087,-0.0155502,0.453991
-0.882813,-0.0154095,0.469472
-0.874486,-0.0152642,0.48481
-0.865893,-0.0151142,0.500001
-0.857036,-0.0149596,0.515039
-0.847918,-0.0148005,0.52992
-0.838542,-0.0146368,0.54464
-0.828911,-0.0144687,0.559194
-0.819027,-0.0142962,0.573577
-0.808893,-0.0141193,0.587786
-0.798513,-0.0139381,0.601816
-0.78789,-0.0137527,0.615662
-0.777027,-0.013563,0.629321
-0.765927,-0.0133693,0.642788
-0.754594,-0.0131715,0.65606
-0.743031,-0.0129696,0.669131
-0.731242,-0.0127639,0.681999
-0.71923,-0.0125542,0.694659
-0.706999,-0.0123407,0.707107
-0.694552,-0.0121234,0.71934
-0.681894,-0.0119025,0.731354
-0.669028,-0.0116779,0.743145
-0.655959,-0.0114498,0.75471
-0.642689,-0.0112182,0.766045
-0.629224,-0.0109831,0.777146
-0.615567,-0.0107448,0.788011
-0.601723,-0.0105031,0.798636
-0.587695,-0.0102583,0.809017
-0.573489,-0.0100103,0.819152
-0.559107,-0.00975925,0.829038
-0.544556,-0.00950525,0.838671
-0.529838,-0.00924835,0.848048
-0.514959,-0.00898864,0.857168
-0.499923,-0.00872619,0.866026
-0.484735,-0.00846108,0.87462
-0.4694,-0.0081934,0.882948
-0.453921,-0.00792321,0.891007
-0.438304,-0.00765062,0.898794
-0.422554,-0.00737569,0.906308
-0.406674,-0.00709852,0.913546
-0.390671,-0.00681919,0.920505
-0.374549,-0.00653778,0.927184
-0.358313,-0.00625437,0.933581
-0.341968,-0.00596906,0.939693
-0.325518,-0.00568194,0.945519
-0.30897,-0.00539308,0.951057
-0.292327,-0.00510258,0.956305
-0.275595,-0.00481053,0.961262
-0.258779,-0.00451701,0.965926
-0.241885,-0.00422211,0.970296
-0.224917,-0.00392593,0.97437
-0.20788,-0.00362855,0.978148
-0.19078,-0.00333007,0.981627
-0.173622,-0.00303057,0.984808
-0.156411,-0.00273015,0.987688
-0.139152,-0.0024289,0.990268
-0.121851,-0.00212691,0.992546
-0.104512,-0.00182427,0.994522
-0.0871424,-0.00152107,0.996195
-0.0697458,-0.00121742,0.997564
-0.0523279,-0.000913387,0.99863
-0.0348942,-0.000609079,0.999391
-0.0174497,-0.000304586,0.999848
3.27466e-015,5.71593e-017,1
0.0174497,0.000304586,0.999848
0.0348942,0.000609079,0.999391
0.0523279,0.000913387,0.99863
0.0697458,0.00121742,0.997564
0.0871424,0.00152107,0.996195
0.104512,0.00182427,0.994522
0.121851,0.00212691,0.992546
0.139152,0.0024289,0.990268
0.156411,0.00273015,0.987688
0.173622,0.00303057,0.984808
0.19078,0.00333007,0.981627
0.20788,0.00362855,0.978148
0.224917,0.00392593,0.97437
0.241885,0.00422211,0.970296
0.258779,0.00451701,0.965926
0.275595,0.00481053,0.961262
0.292327,0.00510258,0.956305
0.30897,0.00539308,0.951057
0.325518,0.00568194,0.945519
0.341968,0.00596906,0.939693
0.358313,0.00625437,0.933581
0.374549,0.00653778,0.927184
0.390671,0.00681919,0.920505
0.406674,0.00709852,0.913546
0.422554,0.00737569,0.906308
0.438304,0.00765062,0.898794
0.453921,0.00792321,0.891007
0.4694,0.0081934,0.882948
0.484735,0.00846108,0.87462
0.499923,0.00872619,0.866026
0.514959,0.00898864,0.857168
0.529838,0.00924835,0.848048
0.544556,0.00950525,0.838671
0.559107,0.00975925,0.829038
0.573489,0.0100103,0.819152
0.587695,0.0102583,0.809017
0.601723,0.0105031,0.798636
0.615567,0.0107448,0.788011
0.629224,0.0109831,0.777146
0.642689,0.0112182,0.766045
0.655959,0.0114498,0.75471
0.669028,0.0116779,0.743145
0.681894,0.0119025,0.731354
0.694552,0.0121234,0.71934
0.706999,0.0123407,0.707107
0.71923,0.0125542,0.694659
0.731242,0.0127639,0.681999
0.743031,0.0129696,0.669131
0.754594,0.0131715,0.65606
0.765927,0.0133693,0.642788
0.777027,0.013563,0.629321
0.78789,0.0137527,0.615662
0.798513,0.0139381,0.601816
0.808893,0.0141193,0.587786
0.819027,0.0142962,0.573577
0.828911,0.0144687,0.559194
0.838542,0.0146368,0.54464
0.847918,0.0148005,0.52992
0.857036,0.0149596,0.515039
0.865893,0.0151142,0.500001
0.874486,0.0152642,0.48481
0.882813,0.0154095,0.469472
0.89087,0.0155502,0.453991
0.898657,0.0156861,0.438372
0.906169,0.0158172,0.422619
0.913406,0.0159435,0.406738
0.920364,0.016065,0.390732
0.927042,0.0161816,0.374608
0.933438,0.0162932,0.358369
0.939549,0.0163999,0.342021
0.945374,0.0165016,0.325569
0.950911,0.0165982,0.309018
0.956159,0.0166898,0.292373
0.961115,0.0167763,0.275638
0.965778,0.0168577,0.25882
0.970148,0.016934,0.241923
0.974221,0.0170051,0.224952
0.977998,0.017071,0.207913
0.981477,0.0171317,0.19081
0.984658,0.0171872,0.173649
0.987538,0.0172375,0.156436
0.990117,0.0172825,0.139174
0.992395,0.0173223,0.121871
0.99437,0.0173568,0.10453
0.996043,0.017386,0.087157
0.997412,0.0174099,0.0697577
0.998477,0.0174285,0.0523372
0.999239,0.0174418,0.0349008
0.999695,0.0174497,0.0174537
0.999848,0.0174524,1.32679e-006
-0.999391,-0.0348995,1.32679e-006
